0MIN_area 0MIN_circumference 0MIN_foot 0MIN_head_width 0MIN_length 0MIN_length_area_ratio 0MIN_length_width_ratio 0MIN_max_width 0MIN_max_width_location 0MIN_neck_width 0MIN_width_length_ratio 0MIN_x_m 0MIN_y_m 10_MIN_area 10_MIN_circumference 10_MIN_foot 10_MIN_head_width 10_MIN_length 10_MIN_length_area_ratio 10_MIN_length_width_ratio 10_MIN_max_width 10_MIN_max_width_location 10_MIN_neck_width 10_MIN_width_length_ratio 10_MIN_x_m 10_MIN_y_m 40_MIN_area 40_MIN_circumference 40_MIN_foot 40_MIN_head_width 40_MIN_length 40_MIN_length_area_ratio 40_MIN_length_width_ratio 40_MIN_max_width 40_MIN_max_width_location 40_MIN_neck_width 40_MIN_width_length_ratio 40_MIN_x_m 40_MIN_y_m animal_id group_id nencki_id source0 source10 source40 unique_id
0.3866505585 2.4961574796 0.9623408959 0.6961197406 0.6748738489 1.7454361154 0.9694795443 0.6961197406 0.4444444444 0.6894200461 1.0314812787 67.4235294118 101.176470588 0.4635489229 1.915242258 1.0463935269 0.7138627319 0.8435536555 1.8197726582 1.1816748765 0.7138627319 0.25 0.7138627319 0.8462564618 76.3428571429 103.533333333 0.3912771906 1.9227349608 1.0151384537 0.6266013724 0.7951612596 2.0322198141 1.2690065721 0.6895044578 0.7 0.6027964157 0.7880179835 95.475 113.3 40 d 201 ControlTest_0_RGB.csv ControlTest_16_RGB.csv ControlTest_21_RGB.csv 00-040-201-d
1.0080106739 5.8176309998 1.8269570845 0.7621132236 1.2784799262 1.2683198297 1.6775459165 1.1014183999 0.8823529412 0.7621132236 0.5961088696 99.0214592275 129.124463519 0.7674592229 4.719984977 1.3808215676 0.9764852796 0.7539775389 0.9824333547 0.7721340553 1.1287160848 0.7272727273 0.971962834 1.2951118955 103.988571429 130.68 0.8144213699 4.284102113 1.391604455 0.9119778912 1.1006799008 1.3514870084 1.2069151143 1.3957342446 0.9285714286 0.9119778912 0.828558685 123.396648045 138.74301676 40 d 202 ControlTest_0_RGB.csv ControlTest_16_RGB.csv ControlTest_21_RGB.csv 00-040-202-d
0.9424178455 5.1916556089 1.1259168505 0.890580562 1.1529513029 1.2233971463 1.2946064086 0.9926684101 0.9375 0.6640783086 0.7724355398 122.867924528 155.995283019 1.116387716 5.9654404608 1.0298692752 1.0101053912 1.4552420171 1.303527436 1.4406833483 1.0101053912 0.5238095238 0.8279372179 0.694115054 131.432 160.048 1.1656544009 6.378943357 1.1134961246 0.846000487 1.6339927322 1.4017814637 1.9314323777 0.846000487 0.3333333333 0.6497747821 0.517750459 149.448669202 170.775665399 40 d 203 ControlTest_0_RGB.csv ControlTest_16_RGB.csv ControlTest_21_RGB.csv 00-040-203-d
0.6806590304 3.9009269703 1.3868614921 0.9963469299 0.8501007429 1.2489377278 0.8532176066 1.01407758 0.6 0.5837741576 1.172033948 151.745098039 192.215686275 0.862401047 4.65983303 1.5143315357 0.8042856723 0.9398629649 1.0898212243 1.1685685786 1.2276219908 0.75 0.8042856723 0.8557478083 162.633507853 197.089005236 0.8558362148 3.896696493 1.19 1.0095730971 0.9755074159 1.1398295597 0.9662573405 1.1604254249 0.8461538462 1.0095730971 1.0349209864 178.776595745 205.840425532 40 d 204 ControlTest_0_RGB.csv ControlTest_16_RGB.csv ControlTest_21_RGB.csv 00-040-204-d
0.4216520923 4.3110564732 1.3020752666 0.5047771786 0.763140638 1.8098822511 1.5118366487 1.2205256721 0.7777777778 0.5047771786 0.6614471218 177.306930693 229.96039604 0.2777998075 2.2802966802 0.7 0.5708866762 0.5229427905 1.8824447547 0.9160185589 0.7655485869 0.7142857143 0.5708866762 1.0916809385 187.983050847 228.237288136 0.2868528887 2.4407529541 0.9417536833 0.403381544 0.3745301158 1.3056522368 0.9284760826 0.9100654074 0.75 0.403381544 1.0770336671 206.698412698 241.396825397 40 d 205 ControlTest_0_RGB.csv ControlTest_16_RGB.csv ControlTest_21_RGB.csv 00-040-205-d
0.3845205706 2.2549373945 0.9752588069 0.6163901989 0.5784611563 1.5043698583 0.938465857 0.7369887995 0.7142857143 0.6163901989 1.0655688671 213.482352941 224.4 0.322700761 2.3298971872 0.7007241873 0.4914947992 0.7844910218 2.4310169561 1.5961329054 0.6461535318 0.8181818182 0.4914947992 0.6265142436 227.293333333 227.733333333 0.6470893613 3.8589534415 1.2928406537 0.853856615 0.9991543958 1.5440748303 1.1701664872 1.1383037205 0.7142857143 0.853856615 0.8545792509 239.754966887 234.38410596 40 d 206 ControlTest_0_RGB.csv ControlTest_16_RGB.csv ControlTest_21_RGB.csv 00-040-206-d
0.8136208975 4.1108184851 0.7163513237 0.7680082241 1.576499007 1.9376333768 2.0527111006 0.7680082241 0.3636363636 0.42 0.4871606139 205.5 287.925287356 1.3310723219 4.9228449473 0.6047352966 1.0705178796 1.6956060498 1.2738647044 1.5839119384 1.0705178796 0.125 0.5569750173 0.6313482308 213.657243816 291.621908127 2.3442023596 11.7989613563 1.2935494119 0.7415136611 3.6514377444 1.5576461347 4.9243027284 1.2869343418 0.9807692308 0.522583294 0.2030744361 220.776264591 300.996108949 40 d 207 ControlTest_0_RGB.csv ControlTest_16_RGB.csv ControlTest_21_RGB.csv 00-040-207-d
1.5720816355 6.4792814468 0.63 1.1054930261 2.16844483 1.3793462 1.961518326 1.1054930261 0.3103448276 0.42 0.5098091548 211.643712575 319.020958084 1.7018647647 5.9517098491 0.49 1.19 2.1568521808 1.2673463988 1.8124808242 1.19 0.2 0.4023189404 0.5517299751 221.61878453 320.20441989 1.8410701675 6.0640447775 0.7981227976 1.2404031603 2.0264699412 1.1007021769 1.6337187828 1.2404031603 0.3461538462 0.649040594 0.6121004487 239.052896725 327.554156171 40 d 208 ControlTest_0_RGB.csv ControlTest_16_RGB.csv ControlTest_21_RGB.csv 00-040-208-d
0.5046523781 3.5745438539 0.6338769597 0.7132736452 0.8413453935 1.6671781011 1.1795548583 0.7132736452 0.3333333333 0.56 0.8477774416 225.209090909 349.163636364 0.6553195647 3.3946455575 0.5772347876 0.8274671811 0.8796467579 1.3423172529 1.0630593913 0.8274671811 0.5384615385 0.645368112 0.9406812151 234.014492754 350.572463768 0.652701161 3.2664577198 0.84 0.7 0.9133553723 1.3993469398 1.304793389 0.7845302747 0.9230769231 0.7 0.7664048641 249.985507246 357.275362319 40 d 209 ControlTest_0_RGB.csv ControlTest_16_RGB.csv ControlTest_21_RGB.csv 00-040-209-d
0.7899487419 3.7784653758 0.7672515521 0.7356435039 1.2854754155 1.6272896548 1.7474162536 0.7803334436 0.6875 0.6233981705 0.5722734912 237.335294118 394.847058824 0.8053314023 5.4792532954 0.8193289938 0.7116822621 1.2678547617 1.5743267407 1.7814898997 0.7116822621 0.2222222222 0.4986548474 0.5613279088 244.632768362 398.197740113 1.3271843414 7.0555731883 1.5542522318 1.053076666 1.4806453514 1.1156290089 1.4060185732 1.0725800092 0.9 0.9126883367 0.711228158 264.062068966 404.893103448 40 d 211 ControlTest_0_RGB.csv ControlTest_16_RGB.csv ControlTest_21_RGB.csv 00-040-211-d
