0MIN_area 0MIN_circumference 0MIN_foot 0MIN_head_width 0MIN_length 0MIN_length_area_ratio 0MIN_length_width_ratio 0MIN_max_width 0MIN_max_width_location 0MIN_neck_width 0MIN_width_length_ratio 0MIN_x_m 0MIN_y_m 10_MIN_area 10_MIN_circumference 10_MIN_foot 10_MIN_head_width 10_MIN_length 10_MIN_length_area_ratio 10_MIN_length_width_ratio 10_MIN_max_width 10_MIN_max_width_location 10_MIN_neck_width 10_MIN_width_length_ratio 10_MIN_x_m 10_MIN_y_m 40_MIN_area 40_MIN_circumference 40_MIN_foot 40_MIN_head_width 40_MIN_length 40_MIN_length_area_ratio 40_MIN_length_width_ratio 40_MIN_max_width 40_MIN_max_width_location 40_MIN_neck_width 40_MIN_width_length_ratio 40_MIN_x_m 40_MIN_y_m animal_id group_id nencki_id source0 source10 source40 unique_id
0.3759333202 2.9776015032 0.733020181 0.4902009689 0.8463442523 2.2513148124 1.7265250498 0.6941767889 0.8333333333 0.4902009689 0.5791980835 13.6941176471 76.5647058824 0.4698080203 3.2579002584 0.9354974832 0.7115085666 0.6352535926 1.3521557001 0.8928263446 0.7115085666 0.2222222222 0.6565566696 1.1200386347 8.2474226804 101.309278351 0.6350044439 5.4487073039 0.6695849632 0.6021627687 1.26 1.9842380823 2.0924574974 0.6021627687 0.4444444444 0.3959797975 0.4779069593 15.5503355705 85.2483221477 18 f 1 Forskolin_22_RGB.csv Forskolin_8_RGB.csv Forskolin_10_RGB.csv 00-018-001-f
0.6795940826 3.6861779493 1.406982587 1.0582947089 0.8424868511 1.2396912696 0.7960796213 1.2942993404 0.7 1.0582947089 1.2561557579 NaN NaN 0.1688390829 2.1599481886 0.8584551983 0.35 0.21 1.2437878506 0.6 0.63 0.6666666667 0.35 1.6666666667 NaN NaN 0.5619214916 3.7926602722 1.0272146964 0.7308214556 0.9068958483 1.6139191362 1.2409266878 0.8063069592 0.8333333333 0.6651759093 0.8058493784 NaN NaN 18 f 200 NaN NaN NaN 00-018-200-f
0.5285299095 3.3462983209 0.5707429387 0.4556523786 1.2292410276 2.3257738219 2.6977605852 0.6709135979 0.8823529412 0.4556523786 0.3706778153 24.4677419355 134.75 0.263704607 2.4407309645 0.7 0.5073387942 0.4994980941 1.8941576324 0.9845454356 0.7706562281 0.8571428571 0.5073387942 1.0156971572 15.1111111111 164.317460317 0.5405124235 3.7101670202 0.8042387705 0.6929646456 0.91 1.6835875743 1.3131983079 0.6929646456 0.9230769231 0.6929646456 0.7614996105 58.9256198347 155.917355372 18 f 202 Forskolin_22_RGB.csv Forskolin_8_RGB.csv Forskolin_10_RGB.csv 00-018-202-f
0.258262414 2.519847543 0.6912065664 0.6260990337 0.6056641724 2.3451502796 0.967361615 0.6260990337 0.375 0.5798243525 1.0337395908 31.606557377 158.131147541 0.1927121673 1.6737829045 0.7073443729 0.4482186966 0.3775137789 1.9589514463 0.8422535287 0.603971828 0.8 0.4482186966 1.1872909592 25.0888888889 181.288888889 0.2946100733 2.845280428 0.6066279732 0.5047771786 0.63 2.1384197522 1.2480754415 0.6197212627 0.7777777778 0.4695742753 0.8012336168 71 173.833333333 18 f 4 Forskolin_22_RGB.csv Forskolin_8_RGB.csv Forskolin_10_RGB.csv 00-018-004-f
0.5983830713 4.6537020595 1.2107643053 0.7453336617 0.8446405585 1.4115381918 1.1332381749 0.8909545443 0.75 0.645368112 0.8824270327 40.552238806 846.52238806 0.3616595347 3.3513672707 1.02249476 0.4527329994 0.7607072009 2.1033793604 1.6802556957 0.753923073 0.9 0.3769615365 0.5951475139 27.2325581395 879.558139535 0.6964294688 3.3258772227 0.8909545443 0.9018869109 0.9174644222 1.3173831139 1.0172721337 0.99979998 0.6153846154 0.8909545443 0.9830211277 77.26 866.1 18 f 5 Forskolin_22_RGB.csv Forskolin_8_RGB.csv Forskolin_10_RGB.csv 00-018-005-f
0.7015085875 3.9470163355 0.7539787307 0.8979664481 1.0641250414 1.5169095011 1.1850387546 0.8979664481 0.5 0.7129012056 0.8438542588 45.1351351351 150.959459459 0.6790829099 6.2456562871 0.8623315102 0.4026793933 1.5506760642 2.2834856268 3.8508950045 0.7956138433 0.7272727273 0.4026793933 0.2596798923 42.1741935484 184.84516129 1.1450655509 6.521645804 0.4744545731 0.645368112 2.45 2.139615499 3.7962830118 1.0934349546 0.8285714286 0.3959797975 0.2634155559 91.3003802281 173.768060837 18 f 204 Forskolin_22_RGB.csv Forskolin_8_RGB.csv Forskolin_10_RGB.csv 00-018-204-f
0.5100466689 3.2366799248 0.4903158735 0.8658074763 0.8703302553 1.706373766 1.0052237698 0.8658074763 0.5 0.356931366 0.9948033762 29 821.672131148 0.7020982414 4.6494568752 0.2818222347 0.9343733449 1.3156902139 1.8739403353 1.4080990443 0.9343733449 0.2777777778 0.1501656655 0.710177316 21.83125 850.8 1.1726122851 5.2509950303 0.8594774272 0.9868882568 1.4318847237 1.221106705 1.4509086655 0.9868882568 0.45 0.63 0.6892232597 67.5968992248 840.80620155 18 f 309 Forskolin_22_RGB.csv Forskolin_8_RGB.csv Forskolin_10_RGB.csv 00-018-309-f
0.5371457016 3.1845128963 1.4268747461 0.8809228048 0.5852454783 1.0895469826 0.6643550095 1.2850459455 0.875 0.8809228048 1.5052193265 72.9711538462 86.3365384615 0.4663975995 2.8753614508 1.2397891646 0.7381469322 0.4754471103 1.0194029962 0.6441090379 1.1193626334 0.8571428571 0.7381469322 1.5525321664 62.6 117.273684211 0.8046925202 6.4946770716 1.0022474744 1.0707940979 1.12 1.391835977 1.0459527207 1.2083873551 0.6875 0.07 0.9560661588 88.7175141243 101.225988701 18 f 201 Forskolin_22_RGB.csv Forskolin_8_RGB.csv Forskolin_10_RGB.csv 00-018-201-f
0.140038476 1.5351909408 0.7176118266 0.1979898987 0.2621299394 1.8718422742 1.3239561265 0.5467174773 0.6666666667 0.1979898987 0.7553120379 NaN NaN 0.3517945086 2.0819659079 0.7025297345 0.7341661937 0.6014068776 1.7095402654 0.8191699411 0.8201536272 0.875 0.6430955806 1.220747918 NaN NaN 0.4633599281 4.0510467096 1.1824692228 0.7632319844 0.56 1.2085637234 0.7337218715 1.1073831534 0.875 0.7632319844 1.3629142578 NaN NaN 18 f 203 NaN NaN NaN 00-018-203-f
0.3147520479 2.4710370744 0.8430548496 0.7013237439 0.4947544354 1.5718863109 0.7054579853 0.7668378229 0.7142857143 0.7013237439 1.4175188613 60.6666666667 801.083333333 0.143768062 1.5986775999 0.9164620561 0.3464281746 0.3645442781 2.5356415945 1.0522939668 0.509534062 0.8 0.3464281746 0.9503047927 56.2162162162 828.756756757 0.2156 1.8684285893 0.8544588931 0.4257933771 0.5189013047 2.4067778509 1.2186692714 0.4949747468 0.7142857143 0.4257933771 0.820567174 100.183673469 819.346938776 18 f 308 Forskolin_22_RGB.csv Forskolin_8_RGB.csv Forskolin_10_RGB.csv 00-018-308-f
